Country,Country_Code,Year,Anxiety_Prevalence_%
Afghanistan,AFG,2019,4.8510346
Africa (IHME GBD),,2019,3.699605
Albania,ALB,2019,3.8375373
Algeria,DZA,2019,4.771976
America (IHME GBD),,2019,5.4921436
American Samoa,ASM,2019,4.044245
Andorra,AND,2019,5.45341
Angola,AGO,2019,3.9340954
Antigua and Barbuda,ATG,2019,4.3341727
Argentina,ARG,2019,4.982973
Armenia,ARM,2019,3.1505976
Asia (IHME GBD),,2019,3.258719
Australia,AUS,2019,5.8151646
Austria,AUT,2019,6.0064344
Azerbaijan,AZE,2019,2.4775383
Bahamas,BHS,2019,4.3490176
Bahrain,BHR,2019,4.937836
Bangladesh,BGD,2019,3.1809232
Barbados,BRB,2019,4.328706
Belarus,BLR,2019,3.4831994
Belgium,BEL,2019,5.04724
Belize,BLZ,2019,4.1840634
Benin,BEN,2019,3.2288494
Bermuda,BMU,2019,4.329229
Bhutan,BTN,2019,3.2678254
Bolivia,BOL,2019,5.7405457
Bosnia and Herzegovina,BIH,2019,3.5371947
Botswana,BWA,2019,3.5533912
Brazil,BRA,2019,7.410114
Brunei,BRN,2019,2.856928
Bulgaria,BGR,2019,3.3973696
Burkina Faso,BFA,2019,3.116734
Burundi,BDI,2019,3.6385643
Cambodia,KHM,2019,4.579762
Cameroon,CMR,2019,3.1999922
Canada,CAN,2019,4.3206058
Cape Verde,CPV,2019,3.0854897
Central African Republic,CAF,2019,4.405564
Chad,TCD,2019,3.3696513
Chile,CHL,2019,5.4619493
China,CHN,2019,3.1641822
Colombia,COL,2019,4.701662
Comoros,COM,2019,3.554554
Congo,COG,2019,3.7367034
Cook Islands,COK,2019,4.08579
Costa Rica,CRI,2019,4.195216
Cote d'Ivoire,CIV,2019,3.2402778
Croatia,HRV,2019,3.5950115
Cuba,CUB,2019,4.2468786
Cyprus,CYP,2019,6.4671764
Czechia,CZE,2019,3.1539073
Democratic Republic of Congo,COD,2019,3.8151321
Denmark,DNK,2019,4.873904
Djibouti,DJI,2019,3.25465
Dominica,DMA,2019,4.2796836
Dominican Republic,DOM,2019,4.50035
East Timor,TLS,2019,3.7955263
Ecuador,ECU,2019,5.2311482
Egypt,EGY,2019,4.5883927
El Salvador,SLV,2019,4.4097867
Equatorial Guinea,GNQ,2019,3.80493
Eritrea,ERI,2019,3.7323155
Estonia,EST,2019,3.3788164
Eswatini,SWZ,2019,3.4919646
Ethiopia,ETH,2019,3.4656384
Europe (IHME GBD),,2019,4.5646415
European Union (27),,2019,5.161444
Fiji,FJI,2019,4.039825
Finland,FIN,2019,3.9931211
France,FRA,2019,6.2742558
Gabon,GAB,2019,3.9851205
Gambia,GMB,2019,3.3126862
Georgia,GEO,2019,2.4950473
Germany,DEU,2019,6.208145
Ghana,GHA,2019,3.0005414
Greece,GRC,2019,5.7790413
Greenland,GRL,2019,4.8561225
Grenada,GRD,2019,4.2821164
Guam,GUM,2019,4.013985
Guatemala,GTM,2019,4.263226
Guinea,GIN,2019,3.3388844
Guinea-Bissau,GNB,2019,3.0934513
Guyana,GUY,2019,4.3815017
Haiti,HTI,2019,4.635318
High-income countries,,2019,4.8858933
Honduras,HND,2019,4.090965
Hungary,HUN,2019,3.4067228
Iceland,ISL,2019,5.1037683
India,IND,2019,2.9674358
Indonesia,IDN,2019,3.5480037
Iran,IRN,2019,7.26808
Iraq,IRQ,2019,5.33799
Ireland,IRL,2019,6.9078193
Israel,ISR,2019,3.7392616
Italy,ITA,2019,5.5624604
Jamaica,JAM,2019,4.0547247
Japan,JPN,2019,2.3241255
Jordan,JOR,2019,4.933855
Kazakhstan,KAZ,2019,2.1156304
Kenya,KEN,2019,3.41804
Kiribati,KIR,2019,4.098131
Kuwait,KWT,2019,4.599968
Kyrgyzstan,KGZ,2019,2.0599196
Laos,LAO,2019,4.5706754
Latvia,LVA,2019,3.748034
Lebanon,LBN,2019,6.0510345
Lesotho,LSO,2019,3.5554914
Liberia,LBR,2019,3.5066519
Libya,LBY,2019,5.324334
Lithuania,LTU,2019,4.2541876
Low-income countries,,2019,3.6828394
Lower-middle-income countries,,2019,3.3327048
Luxembourg,LUX,2019,5.2770224
Madagascar,MDG,2019,3.9632103
Malawi,MWI,2019,3.8456526
Malaysia,MYS,2019,4.5992527
Maldives,MDV,2019,3.5796337
Mali,MLI,2019,2.7260087
Malta,MLT,2019,6.2475963
Marshall Islands,MHL,2019,4.0164247
Mauritania,MRT,2019,2.7462342
Mauritius,MUS,2019,3.8150282
Mexico,MEX,2019,3.5132816
Micronesia (country),FSM,2019,4.0343943
Moldova,MDA,2019,4.078755
Monaco,MCO,2019,5.501611
Mongolia,MNG,2019,2.1429229
Montenegro,MNE,2019,3.6586478
Morocco,MAR,2019,4.7997293
Mozambique,MOZ,2019,4.035234
Myanmar,MMR,2019,3.9770174
Namibia,NAM,2019,3.49189
Nauru,NRU,2019,4.0565453
Nepal,NPL,2019,3.2773163
Netherlands,NLD,2019,6.7548013
New Zealand,NZL,2019,7.263469
Nicaragua,NIC,2019,4.3657975
Niger,NER,2019,2.9678462
Nigeria,NGA,2019,2.9917774
Niue,NIU,2019,4.0224557
North Korea,PRK,2019,3.61212
North Macedonia,MKD,2019,3.5915322
Northern Mariana Islands,MNP,2019,4.0044084
Norway,NOR,2019,6.7358413
Oman,OMN,2019,4.61154
Pakistan,PAK,2019,3.474194
Palau,PLW,2019,3.9466903
Palestine,PSE,2019,5.5458045
Panama,PAN,2019,3.6566825
Papua New Guinea,PNG,2019,3.995107
Paraguay,PRY,2019,6.304892
Peru,PER,2019,5.551791
Philippines,PHL,2019,4.563437
Poland,POL,2019,3.082497
Portugal,PRT,2019,8.02761
Puerto Rico,PRI,2019,4.442561
Qatar,QAT,2019,4.26387
Romania,ROU,2019,3.2856169
Russia,RUS,2019,3.1336958
Rwanda,RWA,2019,3.6533618
Saint Kitts and Nevis,KNA,2019,4.308869
Saint Lucia,LCA,2019,4.307126
Saint Vincent and the Grenadines,VCT,2019,4.2993255
Samoa,WSM,2019,4.027854
San Marino,SMR,2019,5.542622
Sao Tome and Principe,STP,2019,3.0837884
Saudi Arabia,SAU,2019,4.5544286
Senegal,SEN,2019,2.8934357
Serbia,SRB,2019,3.33539
Seychelles,SYC,2019,3.7375588
Sierra Leone,SLE,2019,3.6633224
Singapore,SGP,2019,2.7080863
Slovakia,SVK,2019,3.4256656
Slovenia,SVN,2019,3.3891728
Solomon Islands,SLB,2019,4.0285625
Somalia,SOM,2019,3.2728631
South Africa,ZAF,2019,3.786144
South Korea,KOR,2019,3.2213244
South Sudan,SSD,2019,4.9776773
Spain,ESP,2019,4.8611727
Sri Lanka,LKA,2019,4.0355477
Sudan,SDN,2019,4.745971
Suriname,SUR,2019,4.141955
Sweden,SWE,2019,4.795127
Switzerland,CHE,2019,6.79061
Syria,SYR,2019,5.60757
Taiwan,TWN,2019,3.6654854
Tajikistan,TJK,2019,2.4035394
Tanzania,TZA,2019,3.8125863
Thailand,THA,2019,3.399738
Togo,TGO,2019,3.592497
Tokelau,TKL,2019,4.0038543
Tonga,TON,2019,4.062976
Trinidad and Tobago,TTO,2019,3.8713686
Tunisia,TUN,2019,5.164141
Turkey,TUR,2019,4.513604
Turkmenistan,TKM,2019,2.3415134
Tuvalu,TUV,2019,4.007321
Uganda,UGA,2019,4.080157
Ukraine,UKR,2019,3.133128
United Arab Emirates,ARE,2019,4.243272
United Kingdom,GBR,2019,4.4602027
United States,USA,2019,5.6977477
United States Virgin Islands,VIR,2019,4.365093
Upper-middle-income countries,,2019,3.933253
Uruguay,URY,2019,5.1539445
Uzbekistan,UZB,2019,2.0256548
Vanuatu,VUT,2019,4.02928
Venezuela,VEN,2019,3.9995134
Vietnam,VNM,2019,2.2873394
World,OWID_WRL,2019,3.779522
Yemen,YEM,2019,4.7837157
Zambia,ZMB,2019,3.9692068
Zimbabwe,ZWE,2019,3.1370168
