Country_Code,Light_Intensity
AFG,975412.3916666666
AGO,1145250.1525
ALB,112995.15499999998
ARG,6922201.191666666
AUS,6910188.649999999
AUT,383986.3016666667
AZE,315068.43416666664
BDI,22925.26
BEL,698308.1716666667
BEN,123405.875
BFA,259021.39416666667
BGD,430922.14999999997
BGR,399668.0816666667
BIH,202034.345
BLR,537708.7666666667
BOL,1095980.5766666667
BRA,15335308.166666666
BRN,59969.875
BTN,53241.666666666664
BWA,479075.00583333336
CAF,499039.125
CAN,38075422.81666667
CHE,275540.35583333333
CHL,1533978.175
CHN,32936800.166666668
CIV,474673.66583333333
CMR,401364.80666666664
COD,1760088.0591666668
COG,390682.6608333333
COL,1842863.5999999999
CRI,199906.45666666667
CZE,601038.4183333333
DEU,2262428.499166667
DJI,23644.962499999998
DNK,214428.0
DOM,282530.45249999996
DZA,6339409.416666667
ECU,901461.9716666667
EGY,4457481.908333333
ERI,77955.01916666667
ESP,3969484.27
EST,246626.06833333333
ETH,872411.0816666667
FIN,2598970.525
FJI,17101.958333333332
FRA,3806349.5
GAB,318182.1458333333
GBR,2133689.4499999997
GEO,211143.46916666665
GHA,545208.7725
GIN,274762.08
GMB,14438.475
GNB,31162.654166666664
GNQ,43888.12916666667
GRC,939472.1975000001
GTM,257523.50749999998
GUY,187389.465
HND,241355.3966666667
HRV,368394.2275
HTI,31748.130833333333
HUN,482506.18249999994
IDN,3513278.275
IND,14032524.35
IRN,9021206.083333334
IRQ,7258796.808333334
ISL,429928.79083333333
ITA,4706510.171666667
JOR,652338.9149999999
JPN,3290324.0483333333
KAZ,5444688.393333334
KEN,628711.655
KGZ,439817.5366666666
KHM,183207.0475
KOR,2091137.6908333332
LAO,232105.35
LBN,274815.39333333337
LBR,91381.32833333332
LKA,160854.5425
LTU,229155.56916666668
LUX,40195.04
LVA,228839.16583333336
MAC,16368.323333333334
MAR,1470890.5916666668
MDG,469917.33499999996
MEX,6913443.774999999
MLI,1180169.5566666666
MMR,789737.5299999999
MNG,2094182.2083333333
MOZ,691789.3883333333
MRT,1020440.7749999999
MWI,108560.40666666666
MYS,1748978.5999999999
NAM,630370.4341666667
NER,994460.0175000001
NGA,1709108.375
NIC,164944.29750000002
NLD,1219528.2275
NOR,2060998.8333333333
NPL,45856.87791666667
NZL,456466.4558333333
OMN,1540837.5
PAK,2301941.3666666667
PAN,181741.69333333333
PER,1451983.485833333
PHL,595109.2875
PNG,301167.65499999997
POL,2253667.8583333334
PRT,1063269.3525
PRY,726802.9891666666
ROU,1003810.4583333334
RUS,61560815.449999996
RWA,37425.78333333333
SDN,1584691.7158333333
SEN,246044.30999999997
SLB,15458.229166666666
SLE,72709.96333333333
SLV,74724.20916666667
SRB,596323.9833333333
STP,2255.0125
SUR,154474.92416666666
SVK,247594.30833333335
SVN,96903.71166666667
SWE,2233516.2816666667
SWZ,41797.07916666667
SYR,548343.7908333334
TCD,973371.6341666667
TGO,76933.7925
THA,2234444.0058333334
TJK,308884.0891666667
TLS,16436.0775
TUN,721999.265
TUR,5700211.416666667
TZA,792460.9983333334
UGA,240034.58
UKR,1899029.1058333332
URY,435292.3483333333
USA,61066463.416666664
UZB,1069483.5533333335
VEN,4943078.774999999
VNM,2518099.5166666666
VUT,8279.046666666667
WSM,2663.3216666666667
YEM,561294.8616666667
ZAF,3047841.35
ZMB,645887.6833333333
ZWE,352069.0158333333
